model,model_tag,setting,project,approach,k_label,k,used_v2,total_issues,invalid_count,invalid_rate,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,precision_weighted,recall_weighted,f1_bug,precision_bug,recall_bug,support_bug,f1_feature,precision_feature,recall_feature,support_feature,f1_question,precision_question,recall_question,support_question,source_path,top_k
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,agnostic,_overall,ft,finetune_fixed,,False,3300.0,3.0,0.0009,0.7121,0.7154,0.729,0.7121,0.7154,0.729,0.7121,0.7027,0.7281,0.6791,1100.0,0.7675,0.8482,0.7009,1100.0,0.6759,0.6109,0.7564,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/evaluations/eval_finetune_fixed.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k1,1.0,False,3300.0,3.0,0.0009,0.7033,0.684,0.7477,0.7033,0.684,0.7477,0.7033,0.7139,0.5948,0.8927,1100.0,0.8217,0.7985,0.8464,1100.0,0.5165,0.85,0.3709,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k3,3.0,False,3300.0,4.0,0.0012,0.7255,0.7117,0.7608,0.7255,0.7117,0.7608,0.7255,0.7354,0.6208,0.9018,1100.0,0.8304,0.8158,0.8455,1100.0,0.5694,0.8459,0.4291,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k6,6.0,False,3300.0,118.0,0.0358,0.7133,0.7159,0.7681,0.7133,0.7159,0.7681,0.7133,0.7244,0.6321,0.8482,1100.0,0.8311,0.8259,0.8364,1100.0,0.5922,0.8463,0.4555,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k9,9.0,False,3300.0,141.0,0.0427,0.7109,0.717,0.7671,0.7109,0.717,0.7671,0.7109,0.7268,0.6389,0.8427,1100.0,0.8272,0.8298,0.8245,1100.0,0.5971,0.8325,0.4655,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,agnostic,_overall,ragtag,zero_shot,0.0,False,3300.0,2.0,0.0006,0.6752,0.6452,0.7347,0.6752,0.6452,0.7347,0.6752,0.6905,0.5697,0.8764,1100.0,0.8057,0.7613,0.8555,1100.0,0.4395,0.873,0.2936,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_zero_shot.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,agnostic,_overall,ft,finetune_fixed,,False,3300.0,0.0,0.0,0.7552,0.7462,0.7677,0.7552,0.7462,0.7677,0.7552,0.7781,0.7099,0.8609,1100.0,0.8138,0.7597,0.8764,1100.0,0.6466,0.8336,0.5282,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/evaluations/eval_finetune_fixed.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k1,1.0,True,3300.0,4.0,0.0012,0.7367,0.7257,0.7678,0.7367,0.7257,0.7678,0.7367,0.7454,0.6384,0.8955,1100.0,0.8279,0.8085,0.8482,1100.0,0.6039,0.8564,0.4664,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k1.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k3,3.0,True,3300.0,9.0,0.0027,0.7609,0.7553,0.7847,0.7609,0.7553,0.7847,0.7609,0.7658,0.6685,0.8964,1100.0,0.838,0.8298,0.8464,1100.0,0.6622,0.8559,0.54,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k3.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k6,6.0,True,3300.0,120.0,0.0364,0.7448,0.754,0.7869,0.7448,0.754,0.7869,0.7448,0.7536,0.6845,0.8382,1100.0,0.8367,0.8371,0.8364,1100.0,0.6718,0.8392,0.56,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k6.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k9,9.0,True,3300.0,146.0,0.0442,0.7464,0.7594,0.7932,0.7464,0.7594,0.7932,0.7464,0.7577,0.695,0.8327,1100.0,0.8379,0.8441,0.8318,1100.0,0.6825,0.8404,0.5745,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,agnostic,_overall,ragtag,zero_shot,0.0,True,3300.0,6.0,0.0018,0.7058,0.6876,0.7448,0.7058,0.6876,0.7448,0.7058,0.715,0.6114,0.8609,1100.0,0.8143,0.766,0.8691,1100.0,0.5335,0.8571,0.3873,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_zero_shot.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,agnostic,_overall,ft,finetune_fixed,,False,3300.0,18.0,0.0055,0.663,0.652,0.7117,0.663,0.652,0.7117,0.663,0.6989,0.5607,0.9273,1100.0,0.7475,0.8452,0.67,1100.0,0.5098,0.7293,0.3918,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/eval_finetune_fixed.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k1,1.0,False,3300.0,9.0,0.0027,0.6921,0.6851,0.6985,0.6921,0.6851,0.6985,0.6921,0.7005,0.6293,0.79,1100.0,0.7894,0.769,0.8109,1100.0,0.5654,0.6973,0.4755,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k3,3.0,False,3300.0,8.0,0.0024,0.7006,0.6944,0.707,0.7006,0.6944,0.707,0.7006,0.7094,0.6338,0.8055,1100.0,0.8018,0.7946,0.8091,1100.0,0.572,0.6925,0.4873,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k6,6.0,False,3300.0,120.0,0.0364,0.6764,0.6794,0.7089,0.6764,0.6794,0.7089,0.6764,0.6932,0.6221,0.7827,1100.0,0.8025,0.7996,0.8055,1100.0,0.5425,0.7049,0.4409,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k9,9.0,False,3300.0,144.0,0.0436,0.6661,0.6701,0.7031,0.6661,0.6701,0.7031,0.6661,0.6877,0.6202,0.7718,1100.0,0.7934,0.7842,0.8027,1100.0,0.5292,0.705,0.4236,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,agnostic,_overall,ragtag,zero_shot,0.0,False,3300.0,8.0,0.0024,0.6258,0.6132,0.6659,0.6258,0.6132,0.6659,0.6258,0.6816,0.5432,0.9145,1100.0,0.7227,0.8864,0.61,1100.0,0.4352,0.5681,0.3527,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_zero_shot.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,agnostic,_overall,ft,finetune_fixed,,False,3300.0,4.0,0.0012,0.7412,0.7411,0.7462,0.7412,0.7411,0.7462,0.7412,0.7329,0.6802,0.7945,1100.0,0.8263,0.8493,0.8045,1100.0,0.6641,0.709,0.6245,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/eval_finetune_fixed.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k1,1.0,False,3300.0,3.0,0.0009,0.6961,0.6811,0.7335,0.6961,0.6811,0.7335,0.6961,0.7113,0.5978,0.8782,1100.0,0.7918,0.7753,0.8091,1100.0,0.5401,0.8274,0.4009,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k3,3.0,False,3300.0,3.0,0.0009,0.723,0.7108,0.7518,0.723,0.7108,0.7518,0.723,0.7357,0.6298,0.8845,1100.0,0.8147,0.7933,0.8373,1100.0,0.5819,0.8325,0.4473,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k6,6.0,False,3300.0,115.0,0.0348,0.7103,0.7122,0.7566,0.7103,0.7122,0.7566,0.7103,0.7287,0.6569,0.8182,1100.0,0.8082,0.7733,0.8464,1100.0,0.5996,0.8396,0.4664,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k9,9.0,False,3300.0,139.0,0.0421,0.7003,0.7042,0.7515,0.7003,0.7042,0.7515,0.7003,0.7171,0.6516,0.7973,1100.0,0.806,0.7679,0.8482,1100.0,0.5894,0.835,0.4555,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,agnostic,_overall,ragtag,zero_shot,0.0,False,3300.0,3.0,0.0009,0.6791,0.6621,0.7167,0.6791,0.6621,0.7167,0.6791,0.6959,0.5751,0.8809,1100.0,0.7905,0.792,0.7891,1100.0,0.5,0.7829,0.3673,1100.0,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_zero_shot.csv,0.0
,,agnostic,_overall,vtag,k1,1.0,False,3300.0,0.0,0.0,0.5664,0.5649,0.5695,0.5664,0.5649,0.5695,0.5664,0.5951,0.5436,0.6573,1100.0,0.5628,0.6059,0.5255,1100.0,0.5369,0.5591,0.5164,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k1.csv,1.0
,,agnostic,_overall,vtag,k10,10.0,False,3300.0,0.0,0.0,0.5967,0.5943,0.6048,0.5967,0.5943,0.6048,0.5967,0.6251,0.5518,0.7209,1100.0,0.6161,0.6717,0.5691,1100.0,0.5416,0.5908,0.5,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k10.csv,10.0
,,agnostic,_overall,vtag,k11,11.0,False,3300.0,0.0,0.0,0.5942,0.5919,0.6025,0.5942,0.5919,0.6025,0.5942,0.6236,0.55,0.72,1100.0,0.6126,0.671,0.5636,1100.0,0.5393,0.5865,0.4991,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k11.csv,11.0
,,agnostic,_overall,vtag,k12,12.0,False,3300.0,0.0,0.0,0.5997,0.5971,0.6076,0.5997,0.5971,0.6076,0.5997,0.6317,0.5573,0.7291,1100.0,0.6146,0.6732,0.5655,1100.0,0.5449,0.5923,0.5045,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k12.csv,12.0
,,agnostic,_overall,vtag,k13,13.0,False,3300.0,0.0,0.0,0.6048,0.6019,0.6141,0.6048,0.6019,0.6141,0.6048,0.6376,0.558,0.7436,1100.0,0.6251,0.6866,0.5736,1100.0,0.5429,0.5978,0.4973,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k13.csv,13.0
,,agnostic,_overall,vtag,k14,14.0,False,3300.0,0.0,0.0,0.6061,0.6035,0.6157,0.6061,0.6035,0.6157,0.6061,0.6354,0.5572,0.7391,1100.0,0.6264,0.6885,0.5745,1100.0,0.5487,0.6013,0.5045,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k14.csv,14.0
,,agnostic,_overall,vtag,k15,15.0,False,3300.0,0.0,0.0,0.603,0.6006,0.612,0.603,0.6006,0.612,0.603,0.6311,0.5552,0.7309,1100.0,0.6259,0.6847,0.5764,1100.0,0.5449,0.5961,0.5018,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k15.csv,15.0
,,agnostic,_overall,vtag,k16,16.0,False,3300.0,0.0,0.0,0.6061,0.6039,0.6154,0.6061,0.6039,0.6154,0.6061,0.6318,0.5564,0.7309,1100.0,0.6294,0.6894,0.5791,1100.0,0.5505,0.6004,0.5082,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k16.csv,16.0
,,agnostic,_overall,vtag,k17,17.0,False,3300.0,0.0,0.0,0.597,0.5943,0.6061,0.597,0.5943,0.6061,0.597,0.6255,0.5487,0.7273,1100.0,0.6203,0.6778,0.5718,1100.0,0.5372,0.5919,0.4918,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k17.csv,17.0
,,agnostic,_overall,vtag,k18,18.0,False,3300.0,0.0,0.0,0.6036,0.6011,0.6125,0.6036,0.6011,0.6125,0.6036,0.6301,0.5542,0.73,1100.0,0.6291,0.6823,0.5836,1100.0,0.5443,0.6011,0.4973,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k18.csv,18.0
,,agnostic,_overall,vtag,k19,19.0,False,3300.0,0.0,0.0,0.5985,0.5959,0.6082,0.5985,0.5959,0.6082,0.5985,0.624,0.5464,0.7273,1100.0,0.6277,0.6827,0.5809,1100.0,0.536,0.5956,0.4873,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k19.csv,19.0
,,agnostic,_overall,vtag,k2,2.0,False,3300.0,0.0,0.0,0.5664,0.5649,0.5695,0.5664,0.5649,0.5695,0.5664,0.5951,0.5436,0.6573,1100.0,0.5628,0.6059,0.5255,1100.0,0.5369,0.5591,0.5164,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k2.csv,2.0
,,agnostic,_overall,vtag,k20,20.0,False,3300.0,0.0,0.0,0.6024,0.5997,0.6123,0.6024,0.5997,0.6123,0.6024,0.6301,0.5511,0.7355,1100.0,0.6273,0.6842,0.5791,1100.0,0.5417,0.6016,0.4927,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k20.csv,20.0
,,agnostic,_overall,vtag,k25,25.0,False,3300.0,0.0,0.0,0.5958,0.5924,0.6067,0.5958,0.5924,0.6067,0.5958,0.6233,0.5408,0.7355,1100.0,0.6265,0.6798,0.5809,1100.0,0.5275,0.5995,0.4709,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k25.csv,25.0
,,agnostic,_overall,vtag,k3,3.0,False,3300.0,0.0,0.0,0.5803,0.5787,0.5853,0.5803,0.5787,0.5853,0.5803,0.6073,0.5474,0.6818,1100.0,0.5894,0.6374,0.5482,1100.0,0.5393,0.5711,0.5109,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k3.csv,3.0
,,agnostic,_overall,vtag,k30,30.0,False,3300.0,0.0,0.0,0.5967,0.5933,0.6078,0.5967,0.5933,0.6078,0.5967,0.6202,0.5381,0.7318,1100.0,0.6365,0.6837,0.5955,1100.0,0.5231,0.6017,0.4627,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k30.csv,30.0
,,agnostic,_overall,vtag,k4,4.0,False,3300.0,0.0,0.0,0.5888,0.5871,0.5957,0.5888,0.5871,0.5957,0.5888,0.6131,0.5471,0.6973,1100.0,0.6006,0.6525,0.5564,1100.0,0.5476,0.5875,0.5127,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k4.csv,4.0
,,agnostic,_overall,vtag,k5,5.0,False,3300.0,0.0,0.0,0.5861,0.5845,0.5922,0.5861,0.5845,0.5922,0.5861,0.6099,0.5464,0.69,1100.0,0.6022,0.6502,0.5609,1100.0,0.5412,0.58,0.5073,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k5.csv,5.0
,,agnostic,_overall,vtag,k6,6.0,False,3300.0,0.0,0.0,0.593,0.5912,0.6004,0.593,0.5912,0.6004,0.593,0.6186,0.5503,0.7064,1100.0,0.6033,0.6588,0.5564,1100.0,0.5517,0.5923,0.5164,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k6.csv,6.0
