model,model_tag,setting,project,approach,k_label,k,cost_path
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,agnostic,_overall,ft,finetune_fixed,,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k1,1.0,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k3,3.0,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k6,6.0,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k9,9.0,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,agnostic,_overall,ragtag,zero_shot,0.0,results/issues11k/agnostic/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,agnostic,_overall,ft,finetune_fixed,,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k1,1.0,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k3,3.0,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k6,6.0,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k9,9.0,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,agnostic,_overall,ragtag,zero_shot,0.0,results/issues11k/agnostic/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,agnostic,_overall,ft,finetune_fixed,,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k1,1.0,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k3,3.0,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k6,6.0,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k9,9.0,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,agnostic,_overall,ragtag,zero_shot,0.0,results/issues11k/agnostic/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,agnostic,_overall,ft,finetune_fixed,,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k1,1.0,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k3,3.0,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k6,6.0,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,agnostic,_overall,ragtag,k9,9.0,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,agnostic,_overall,ragtag,zero_shot,0.0,results/issues11k/agnostic/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k1,1.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k10,10.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k11,11.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k12,12.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k13,13.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k14,14.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k15,15.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k16,16.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k17,17.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k18,18.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k19,19.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k2,2.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k20,20.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k25,25.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k3,3.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k30,30.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k4,4.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k5,5.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k6,6.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k7,7.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k8,8.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag,k9,9.0,results/issues11k/agnostic/vtag/predictions/cost_metrics.csv
,,agnostic,_overall,vtag_debias,k1,1.0,results/issues11k/agnostic/vtag_debias_m3/predictions/cost_metrics.csv
,,agnostic,_overall,vtag_debias,k3,3.0,results/issues11k/agnostic/vtag_debias_m3/predictions/cost_metrics.csv
,,agnostic,_overall,vtag_debias,k6,6.0,results/issues11k/agnostic/vtag_debias_m3/predictions/cost_metrics.csv
,,agnostic,_overall,vtag_debias,k9,9.0,results/issues11k/agnostic/vtag_debias_m3/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ft,finetune_fixed,,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k1,1.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k3,3.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k6,6.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k9,9.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k1,1.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k3,3.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k6,6.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k9,9.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,ansible_ansible,ft,finetune_fixed,,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k1,1.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k3,3.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
