model,approach,setting,project,k_label,k,f1_macro,accuracy,f1_bug,f1_feature,f1_question,precision_bug,recall_bug,precision_feature,recall_feature,precision_question,recall_question,invalid_rate,source
Qwen-14B,ft,project_specific,ansible_ansible,finetune_fixed,,0.7683,0.77,0.8276,0.7826,0.6947,0.8155,0.84,0.757,0.81,0.7333,0.66,0.0,eval_csv
Qwen-14B,ragtag,project_specific,ansible_ansible,k1,1.0,0.6198,0.69,0.8304,0.7704,0.2586,0.75,0.93,0.6306,0.99,0.9375,0.15,0.01,eval_csv
Qwen-14B,ragtag,project_specific,ansible_ansible,k3,3.0,0.6507,0.7133,0.8354,0.8,0.3167,0.7226,0.99,0.6857,0.96,0.95,0.19,0.01,eval_csv
Qwen-14B,ragtag,project_specific,ansible_ansible,k6,6.0,0.6555,0.7067,0.819,0.8033,0.3443,0.7197,0.95,0.6906,0.96,0.9545,0.21,0.0233,eval_csv
Qwen-14B,ragtag,project_specific,ansible_ansible,k9,9.0,0.675,0.72,0.817,0.824,0.384,0.7111,0.96,0.7218,0.96,0.96,0.24,0.0233,eval_csv
Qwen-14B,ragtag_debias,project_specific,ansible_ansible,k1,1.0,0.6045,0.6767,0.8052,0.7649,0.2435,0.7099,0.93,0.6358,0.96,0.9333,0.14,0.01,eval_csv
Qwen-14B,ragtag_debias,project_specific,ansible_ansible,k3,3.0,0.6489,0.7033,0.8282,0.7742,0.3443,0.7402,0.94,0.6486,0.96,0.9545,0.21,0.01,eval_csv
Qwen-14B,ragtag_debias,project_specific,ansible_ansible,k6,6.0,0.6746,0.72,0.8384,0.7917,0.3937,0.7442,0.96,0.6786,0.95,0.9259,0.25,0.0133,eval_csv
Qwen-14B,ragtag_debias,project_specific,ansible_ansible,k9,9.0,0.6946,0.7367,0.8609,0.8136,0.4094,0.7615,0.99,0.7059,0.96,0.963,0.26,0.0233,eval_csv
Qwen-32B,ft,project_specific,ansible_ansible,finetune_fixed,,0.8188,0.8233,0.9109,0.817,0.7284,0.902,0.92,0.7111,0.96,0.9516,0.59,0.0033,eval_csv
Qwen-32B,ragtag,project_specific,ansible_ansible,k1,1.0,0.6479,0.7,0.8493,0.75,0.3443,0.7815,0.93,0.6154,0.96,0.9545,0.21,0.01,eval_csv
