setting,project,k_label,wall_time_s,issues_per_second,total_issues,total_prompt_tokens,total_generated_tokens,gpu_peak_memory_mb
agnostic,_overall,k1,0.0038,874752.1,3300,0,0,0.0
agnostic,_overall,k2,0.0046,712399.2,3300,0,0,0.0
agnostic,_overall,k3,0.0048,688069.4,3300,0,0,0.0
agnostic,_overall,k4,0.0051,646422.7,3300,0,0,0.0
agnostic,_overall,k5,0.0054,611928.2,3300,0,0,0.0
agnostic,_overall,k6,0.0055,597943.8,3300,0,0,0.0
agnostic,_overall,k7,0.0055,601268.6,3300,0,0,0.0
agnostic,_overall,k8,0.0058,570394.9,3300,0,0,0.0
agnostic,_overall,k9,0.0061,543346.3,3300,0,0,0.0
agnostic,_overall,k10,0.0061,540102.4,3300,0,0,0.0
agnostic,_overall,k11,0.0063,527746.3,3300,0,0,0.0
agnostic,_overall,k12,0.0065,507356.9,3300,0,0,0.0
agnostic,_overall,k13,0.0065,504637.7,3300,0,0,0.0
agnostic,_overall,k14,0.0067,491328.1,3300,0,0,0.0
agnostic,_overall,k15,0.0069,477876.1,3300,0,0,0.0
agnostic,_overall,k16,0.0072,460958.6,3300,0,0,0.0
agnostic,_overall,k17,0.0073,450780.1,3300,0,0,0.0
agnostic,_overall,k18,0.0072,460881.8,3300,0,0,0.0
agnostic,_overall,k19,0.0073,452874.5,3300,0,0,0.0
agnostic,_overall,k20,0.0076,435600.4,3300,0,0,0.0
agnostic,_overall,k25,0.0084,392346.6,3300,0,0,0.0
agnostic,_overall,k30,0.0091,363190.8,3300,0,0,0.0
project_specific,ansible_ansible,k1,0.0003,1045092.4,300,0,0,0.0
project_specific,ansible_ansible,k2,0.0004,702563.5,300,0,0,0.0
project_specific,ansible_ansible,k3,0.0005,603497.0,300,0,0,0.0
project_specific,ansible_ansible,k4,0.0006,534987.8,300,0,0,0.0
project_specific,ansible_ansible,k5,0.0006,544950.7,300,0,0,0.0
project_specific,ansible_ansible,k6,0.0006,512960.1,300,0,0,0.0
project_specific,ansible_ansible,k7,0.0006,500912.1,300,0,0,0.0
project_specific,ansible_ansible,k8,0.0006,519955.0,300,0,0,0.0
project_specific,ansible_ansible,k9,0.0006,496171.6,300,0,0,0.0
project_specific,ansible_ansible,k10,0.0006,488846.6,300,0,0,0.0
project_specific,ansible_ansible,k11,0.0006,484517.2,300,0,0,0.0
project_specific,ansible_ansible,k12,0.0006,475365.0,300,0,0,0.0
project_specific,ansible_ansible,k13,0.0006,469336.5,300,0,0,0.0
project_specific,ansible_ansible,k14,0.0007,450354.8,300,0,0,0.0
project_specific,ansible_ansible,k15,0.0007,442126.2,300,0,0,0.0
project_specific,ansible_ansible,k16,0.0007,419570.3,300,0,0,0.0
project_specific,ansible_ansible,k17,0.0007,419430.4,300,0,0,0.0
project_specific,ansible_ansible,k18,0.0008,396312.2,300,0,0,0.0
project_specific,ansible_ansible,k19,0.0007,412014.1,300,0,0,0.0
project_specific,ansible_ansible,k20,0.0008,392725.1,300,0,0,0.0
project_specific,ansible_ansible,k25,0.0009,319201.2,300,0,0,0.0
project_specific,ansible_ansible,k30,0.001,291271.1,300,0,0,0.0
project_specific,bitcoin_bitcoin,k1,0.0002,1274864.4,300,0,0,0.0
project_specific,bitcoin_bitcoin,k2,0.0005,602053.2,300,0,0,0.0
project_specific,bitcoin_bitcoin,k3,0.0005,587711.9,300,0,0,0.0
