project,k,f1_macro,accuracy
ansible_ansible,1.0,0.591,0.6067
ansible_ansible,2.0,0.591,0.6067
ansible_ansible,3.0,0.5926,0.6067
ansible_ansible,4.0,0.5837,0.6067
ansible_ansible,5.0,0.5882,0.61
ansible_ansible,6.0,0.574,0.6
ansible_ansible,7.0,0.5693,0.5967
ansible_ansible,8.0,0.5597,0.59
ansible_ansible,9.0,0.5346,0.5767
ansible_ansible,10.0,0.5322,0.5733
ansible_ansible,11.0,0.5503,0.5867
ansible_ansible,12.0,0.5428,0.5867
ansible_ansible,13.0,0.5405,0.5867
ansible_ansible,14.0,0.5288,0.5733
ansible_ansible,15.0,0.5451,0.5867
ansible_ansible,16.0,0.5399,0.5867
ansible_ansible,17.0,0.5179,0.5667
ansible_ansible,18.0,0.5451,0.59
ansible_ansible,19.0,0.515,0.5667
ansible_ansible,20.0,0.5455,0.59
ansible_ansible,25.0,0.5146,0.56
ansible_ansible,30.0,0.5227,0.5667
bitcoin_bitcoin,1.0,0.5453,0.5467
bitcoin_bitcoin,2.0,0.5453,0.5467
bitcoin_bitcoin,3.0,0.5386,0.54
bitcoin_bitcoin,4.0,0.5681,0.57
bitcoin_bitcoin,5.0,0.5536,0.5533
bitcoin_bitcoin,6.0,0.544,0.5467
bitcoin_bitcoin,7.0,0.5774,0.5733
bitcoin_bitcoin,8.0,0.5815,0.58
bitcoin_bitcoin,9.0,0.5863,0.5833
bitcoin_bitcoin,10.0,0.5895,0.5867
bitcoin_bitcoin,11.0,0.5785,0.5767
bitcoin_bitcoin,12.0,0.5924,0.59
bitcoin_bitcoin,13.0,0.5967,0.5967
bitcoin_bitcoin,14.0,0.5826,0.5833
bitcoin_bitcoin,15.0,0.5701,0.57
bitcoin_bitcoin,16.0,0.5824,0.5833
bitcoin_bitcoin,17.0,0.5718,0.5733
bitcoin_bitcoin,18.0,0.5746,0.5767
bitcoin_bitcoin,19.0,0.589,0.59
bitcoin_bitcoin,20.0,0.5954,0.5967
bitcoin_bitcoin,25.0,0.5526,0.5633
bitcoin_bitcoin,30.0,0.5773,0.5867
dart-lang_sdk,1.0,0.5556,0.5667
dart-lang_sdk,2.0,0.5556,0.5667
dart-lang_sdk,3.0,0.5741,0.5867
dart-lang_sdk,4.0,0.5728,0.59
dart-lang_sdk,5.0,0.5838,0.6
dart-lang_sdk,6.0,0.589,0.6033
dart-lang_sdk,7.0,0.6055,0.6233
dart-lang_sdk,8.0,0.597,0.6167
dart-lang_sdk,9.0,0.6239,0.6367
dart-lang_sdk,10.0,0.5938,0.6133
dart-lang_sdk,11.0,0.5931,0.6133
dart-lang_sdk,12.0,0.5866,0.6067
dart-lang_sdk,13.0,0.5884,0.61
dart-lang_sdk,14.0,0.5857,0.61
dart-lang_sdk,15.0,0.5909,0.6167
dart-lang_sdk,16.0,0.5777,0.6033
dart-lang_sdk,17.0,0.5835,0.61
dart-lang_sdk,18.0,0.5768,0.61
dart-lang_sdk,19.0,0.5638,0.5967
dart-lang_sdk,20.0,0.5782,0.61
dart-lang_sdk,25.0,0.5785,0.6133
dart-lang_sdk,30.0,0.5338,0.58
dotnet_roslyn,1.0,0.5013,0.5033
dotnet_roslyn,2.0,0.5013,0.5033
dotnet_roslyn,3.0,0.4875,0.49
dotnet_roslyn,4.0,0.4847,0.49
dotnet_roslyn,5.0,0.5124,0.5167
dotnet_roslyn,6.0,0.5187,0.5267
dotnet_roslyn,7.0,0.5172,0.5233
dotnet_roslyn,8.0,0.5294,0.54
dotnet_roslyn,9.0,0.5146,0.5233
dotnet_roslyn,10.0,0.5248,0.53
dotnet_roslyn,11.0,0.5273,0.5367
dotnet_roslyn,12.0,0.5261,0.5367
dotnet_roslyn,13.0,0.5361,0.5433
dotnet_roslyn,14.0,0.5346,0.54
dotnet_roslyn,15.0,0.5362,0.5433
dotnet_roslyn,16.0,0.519,0.5267
dotnet_roslyn,17.0,0.5346,0.5433
dotnet_roslyn,18.0,0.5002,0.51
dotnet_roslyn,19.0,0.5025,0.51
dotnet_roslyn,20.0,0.5084,0.5167
dotnet_roslyn,25.0,0.5138,0.5233
dotnet_roslyn,30.0,0.5006,0.5133
facebook_react,1.0,0.6032,0.62
facebook_react,2.0,0.6032,0.62
facebook_react,3.0,0.5951,0.6133
facebook_react,4.0,0.6022,0.6233
facebook_react,5.0,0.5947,0.6133
facebook_react,6.0,0.606,0.6233
facebook_react,7.0,0.6025,0.62
facebook_react,8.0,0.6074,0.6267
facebook_react,9.0,0.6017,0.62
facebook_react,10.0,0.606,0.6233
facebook_react,11.0,0.5826,0.6033
facebook_react,12.0,0.5854,0.6067
facebook_react,13.0,0.5831,0.6033
facebook_react,14.0,0.5954,0.6133
facebook_react,15.0,0.5971,0.6167
facebook_react,16.0,0.6047,0.6233
facebook_react,17.0,0.6039,0.6233
facebook_react,18.0,0.6107,0.6267
facebook_react,19.0,0.61,0.6267
facebook_react,20.0,0.596,0.6167
facebook_react,25.0,0.6084,0.6267
facebook_react,30.0,0.6084,0.6267
flutter_flutter,1.0,0.5745,0.58
flutter_flutter,2.0,0.5745,0.58
flutter_flutter,3.0,0.5683,0.58
flutter_flutter,4.0,0.5648,0.5767
flutter_flutter,5.0,0.58,0.5933
flutter_flutter,6.0,0.5458,0.5667
flutter_flutter,7.0,0.5675,0.5867
flutter_flutter,8.0,0.5476,0.57
flutter_flutter,9.0,0.5499,0.5733
flutter_flutter,10.0,0.5361,0.5633
flutter_flutter,11.0,0.5631,0.5867
