model,approach_label,overpred_bug_mean,overpred_feature_mean,overpred_question_mean
Qwen-3B,Zero-shot ag,1.6836363636363636,0.6881818181818182,0.6209090909090909
Qwen-3B,RAGTAG ag (k1-9 mean),1.2572727272727273,1.0259090909090909,0.6529545454545455
Qwen-3B,RAGTAG ps (k1-9 mean),1.2543181818181817,1.0279545454545456,0.6540909090909092
Qwen-3B,Debias ps (k1-9 mean),1.0338636363636362,0.9927272727272727,0.9327272727272727
Qwen-3B,FT ag,1.6536363636363636,0.7927272727272727,0.5372727272727272
Qwen-7B,Zero-shot ag,1.5318181818181817,0.9963636363636363,0.4690909090909091
Qwen-7B,RAGTAG ag (k1-9 mean),1.3356818181818182,1.0745454545454545,0.5306818181818181
Qwen-7B,RAGTAG ps (k1-9 mean),1.3420454545454545,1.0661363636363637,0.5324999999999999
Qwen-7B,Debias ps (k1-9 mean),1.3193181818181818,1.0618181818181818,0.5829545454545454
Qwen-7B,FT ag,1.1681818181818182,0.9472727272727273,0.8809090909090909
Qwen-14B,Zero-shot ag,1.538181818181818,1.1236363636363635,0.33636363636363636
Qwen-14B,RAGTAG ag (k1-9 mean),1.4036363636363636,1.0256818181818184,0.5102272727272728
Qwen-14B,RAGTAG ps (k1-9 mean),1.4004545454545454,1.0286363636363638,0.5104545454545453
Qwen-14B,Debias ps (k1-9 mean),1.3663636363636364,1.0447727272727272,0.5506818181818182
Qwen-14B,FT ag,0.9327272727272727,0.8263636363636364,1.2381818181818183
Qwen-32B,Zero-shot ag,1.4081818181818182,1.1345454545454545,0.45181818181818184
Qwen-32B,RAGTAG ag (k1-9 mean),1.291590909090909,1.013409090909091,0.6315909090909091
Qwen-32B,RAGTAG ps (k1-9 mean),1.2897727272727273,1.0129545454545457,0.6338636363636363
Qwen-32B,Debias ps (k1-9 mean),1.259318181818182,1.0379545454545456,0.6627272727272728
Qwen-32B,FT ag,1.2127272727272727,1.1536363636363636,0.6336363636363637
