test_idx,ground_truth,pred_Qwen-3B,title,body,pred_Qwen-7B,pred_Qwen-14B,pred_Qwen-32B,all_bug,body_excerpt,category
138,feature,bug,[stable-2.15] Fix misrendered sections in manpage generation,"Backport of https://github.com/ansible/ansible/pull/80450

This change fixes bugs in the manpage generator that existed since it was first added.

It exposes CLI `ARGUMENTS` value to manpage templates.

Before this change, the code contained a typo, causing the `for`-loop iterate over individual characters of the `'ARGUMENTS'` string rather than iterating over a tuple. A missing comma was at fault.

The updated code gets rid of the `for`-loop and conditionals since it seems to have been a premature complexity increase and no other things than `'ARGUMENTS'` were ever added into the broken iterable.

The functional change is that `arguments` is now always present in the Jinja2 context, unlike being missing sometimes because of the previous design (not that it was ever present, because of the bug! sigh...)

The Jinja2 templates perform an `{% if arguments %}` check, letting the template engine silently ignore the missing variable. The clause was always falsy, meaning that the arguments section was not included in the manpages for at least the last 6 years. With this fix, it will be.

This patch also deduplicates calling `opt_doc_list` @ generate_man.

It was called late in the execution, more times than necessary. This patch makes sure it happens once by putting it at the top of the scope.

It fixes rendering library and inventory in manpages.

The corresponding Jinja2 templates have blocks wrapped with conditionals like `{% if inventory %}` and `{% if library %}` but said variables were never injected into the context, nor were they even deduced on the Python side of the generator. This means that the conditional clauses were always falsy, never showing the portions of the manpages.

The Python script has hints for how the `inventory` variable was to be calculated, which is confirmed through the Git paleontology efforts.

The block of code that references to the `inventory` bit was incorrectly checking a variable with a list of nested objects for the presence of a string which was never going to work.

This patch fixes this check by verifying the CLI flag against the correct variable containing a list of options and exposes it to the Jinja2 templates.
It also exposes the `library` variable in a similar way.

The block displaying other binaries in Sphinx CLI docs has been synchronized with the manpage template.
Previously, the current binary was displayed also. This patch gets rid of the unwanted trailing comma there too.

Finally, the CLI executables list in the manpage template now reuses the same variable as the RST template that doesn't need any post-processing in Jinja2.
Before, it was already used in the RST template so this patch aligns both templates to use the same logic as they got out-of-sync over time.

PR #80450..
(cherry picked from commit a84b3a4e7277084466e43236fa78fc99592c641a)

##### SUMMARY

<!--- Describe the change below, including rationale and design decisions -->

<!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue -->

##### ISSUE TYPE

<!--- Pick one below and delete the rest -->

- Bugfix Pull Request
- Docs Pull Request
- Feature Pull Request
- Test Pull Request

##### COMPONENT NAME

<!--- Write the short name of the module, plugin, task or feature below -->

##### ADDITIONAL INFORMATION

<!--- Include additional information to help people understand the change here -->
<!--- A step-by-step reproduction of the problem is helpful if there is no related issue -->

<!--- Paste verbatim command output below, e.g. before and after your change -->

```paste below

```
",bug,bug,bug,True,"Backport of https://github.com/ansible/ansible/pull/80450

This change fixes bugs in the manpage generator that existed since it was first added.

It exposes CLI `ARGUMENTS` value to manpage templates.

Before this change, the code contained a typo, causing the `for`-loop iterate over individu",ambiguous
139,feature,bug,[stable-2.14] Fix misrendered sections in manpage generation,"Backport of https://github.com/ansible/ansible/pull/80450

This change fixes bugs in the manpage generator that existed since it was first added.

It exposes CLI `ARGUMENTS` value to manpage templates.

Before this change, the code contained a typo, causing the `for`-loop iterate over individual characters of the `'ARGUMENTS'` string rather than iterating over a tuple. A missing comma was at fault.

The updated code gets rid of the `for`-loop and conditionals since it seems to have been a premature complexity increase and no other things than `'ARGUMENTS'` were ever added into the broken iterable.

The functional change is that `arguments` is now always present in the Jinja2 context, unlike being missing sometimes because of the previous design (not that it was ever present, because of the bug! sigh...)

The Jinja2 templates perform an `{% if arguments %}` check, letting the template engine silently ignore the missing variable. The clause was always falsy, meaning that the arguments section was not included in the manpages for at least the last 6 years. With this fix, it will be.

This patch also deduplicates calling `opt_doc_list` @ generate_man.

It was called late in the execution, more times than necessary. This patch makes sure it happens once by putting it at the top of the scope.

It fixes rendering library and inventory in manpages.

The corresponding Jinja2 templates have blocks wrapped with conditionals like `{% if inventory %}` and `{% if library %}` but said variables were never injected into the context, nor were they even deduced on the Python side of the generator. This means that the conditional clauses were always falsy, never showing the portions of the manpages.

The Python script has hints for how the `inventory` variable was to be calculated, which is confirmed through the Git paleontology efforts.

The block of code that references to the `inventory` bit was incorrectly checking a variable with a list of nested objects for the presence of a string which was never going to work.

This patch fixes this check by verifying the CLI flag against the correct variable containing a list of options and exposes it to the Jinja2 templates.
It also exposes the `library` variable in a similar way.

The block displaying other binaries in Sphinx CLI docs has been synchronized with the manpage template.
Previously, the current binary was displayed also. This patch gets rid of the unwanted trailing comma there too.

Finally, the CLI executables list in the manpage template now reuses the same variable as the RST template that doesn't need any post-processing in Jinja2.
Before, it was already used in the RST template so this patch aligns both templates to use the same logic as they got out-of-sync over time.

PR #80450.
(cherry picked from commit a84b3a4e7277084466e43236fa78fc99592c641a)

##### SUMMARY

<!--- Describe the change below, including rationale and design decisions -->

<!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue -->

##### ISSUE TYPE

<!--- Pick one below and delete the rest -->

- Bugfix Pull Request
- Docs Pull Request
- Feature Pull Request
- Test Pull Request

##### COMPONENT NAME

<!--- Write the short name of the module, plugin, task or feature below -->

##### ADDITIONAL INFORMATION

<!--- Include additional information to help people understand the change here -->
<!--- A step-by-step reproduction of the problem is helpful if there is no related issue -->

<!--- Paste verbatim command output below, e.g. before and after your change -->

```paste below

```
",bug,bug,bug,True,"Backport of https://github.com/ansible/ansible/pull/80450

This change fixes bugs in the manpage generator that existed since it was first added.

It exposes CLI `ARGUMENTS` value to manpage templates.

Before this change, the code contained a typo, causing the `for`-loop iterate over individu",ambiguous
140,feature,bug,[stable-2.13] Fix misrendered sections in manpage generation,"Backport of https://github.com/ansible/ansible/pull/80450

This change fixes bugs in the manpage generator that existed since it was first added.

It exposes CLI `ARGUMENTS` value to manpage templates.

Before this change, the code contained a typo, causing the `for`-loop iterate over individual characters of the `'ARGUMENTS'` string rather than iterating over a tuple. A missing comma was at fault.

The updated code gets rid of the `for`-loop and conditionals since it seems to have been a premature complexity increase and no other things than `'ARGUMENTS'` were ever added into the broken iterable.

The functional change is that `arguments` is now always present in the Jinja2 context, unlike being missing sometimes because of the previous design (not that it was ever present, because of the bug! sigh...)

The Jinja2 templates perform an `{% if arguments %}` check, letting the template engine silently ignore the missing variable. The clause was always falsy, meaning that the arguments section was not included in the manpages for at least the last 6 years. With this fix, it will be.

This patch also deduplicates calling `opt_doc_list` @ generate_man.

It was called late in the execution, more times than necessary. This patch makes sure it happens once by putting it at the top of the scope.

It fixes rendering library and inventory in manpages.

The corresponding Jinja2 templates have blocks wrapped with conditionals like `{% if inventory %}` and `{% if library %}` but said variables were never injected into the context, nor were they even deduced on the Python side of the generator. This means that the conditional clauses were always falsy, never showing the portions of the manpages.

The Python script has hints for how the `inventory` variable was to be calculated, which is confirmed through the Git paleontology efforts.

The block of code that references to the `inventory` bit was incorrectly checking a variable with a list of nested objects for the presence of a string which was never going to work.

This patch fixes this check by verifying the CLI flag against the correct variable containing a list of options and exposes it to the Jinja2 templates.
It also exposes the `library` variable in a similar way.

The block displaying other binaries in Sphinx CLI docs has been synchronized with the manpage template.
Previously, the current binary was displayed also. This patch gets rid of the unwanted trailing comma there too.

Finally, the CLI executables list in the manpage template now reuses the same variable as the RST template that doesn't need any post-processing in Jinja2.
Before, it was already used in the RST template so this patch aligns both templates to use the same logic as they got out-of-sync over time.

PR #80450.
(cherry picked from commit a84b3a4e7277084466e43236fa78fc99592c641a)

##### SUMMARY

<!--- Describe the change below, including rationale and design decisions -->

<!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue -->

##### ISSUE TYPE

<!--- Pick one below and delete the rest -->

- Bugfix Pull Request
- Docs Pull Request
- Feature Pull Request
- Test Pull Request

##### COMPONENT NAME

<!--- Write the short name of the module, plugin, task or feature below -->

##### ADDITIONAL INFORMATION

<!--- Include additional information to help people understand the change here -->
<!--- A step-by-step reproduction of the problem is helpful if there is no related issue -->

<!--- Paste verbatim command output below, e.g. before and after your change -->

```paste below

```
",bug,bug,bug,True,"Backport of https://github.com/ansible/ansible/pull/80450

This change fixes bugs in the manpage generator that existed since it was first added.

It exposes CLI `ARGUMENTS` value to manpage templates.

Before this change, the code contained a typo, causing the `for`-loop iterate over individu",ambiguous
204,question,bug,Fixed Ansible API Example,"Would otherwise silently fail with `TypeError: The value 'None' is not a valid boolean.` when trying to parse `become=None`.


##### SUMMARY
The example script in `examples/scripts/uptime.py` failed silently, because it attempted to parse `None` as a boolean, which failed as a `TypeError`, since `None` is not included in `BOOLEANS` in `module_utils/parsing/convert_bool.py`.

``` module_utils/parsing/convert_bool.py
 10 BOOLEANS_TRUE = frozenset(('y', 'yes', 'on', '1', 'true', 't', 1, 1.0, True))
 11 BOOLEANS_FALSE = frozenset(('n', 'no', 'off', '0', 'false', 'f', 0, 0.0, False))
 12 BOOLEANS = BOOLEANS_TRUE.union(BOOLEANS_FALSE)
```


##### ADDITIONAL INFORMATION
Can be reproduced by executing `python uptime.py` in a local virtual environment with ansible installed.",bug,bug,bug,True,"Would otherwise silently fail with `TypeError: The value 'None' is not a valid boolean.` when trying to parse `become=None`.


##### SUMMARY
The example script in `examples/scripts/uptime.py` failed silently, because it attempted to parse `None` as a boolean, which failed as a `TypeError`, since",error-trace
212,question,bug,Failed to build ansible v2.9+,"<!--- Verify first that your issue is not already reported on GitHub -->
<!--- Also test if the latest release and devel branch are affected too -->
<!--- Complete *all* sections as described, this form is processed automatically -->

##### SUMMARY
When run make sdist, there will be error
mkdir -p ./docs/man/man1/ ; \
PYTHONPATH=./lib hacking/build-ansible.py generate-man  --template-file=docs/templates/man.j2 --output-dir=docs/man/man1/ --output-format man lib/ansible/cli/*.py
usage: build-ansible.py [-h] {release-announcement} ...
build-ansible.py: error: argument command: invalid choice: 'generate-man' (choose from 'release-announcement')
seems build-ansible.py didn't load all the subcommands correctly.

",bug,bug,bug,True,"<!--- Verify first that your issue is not already reported on GitHub -->
<!--- Also test if the latest release and devel branch are affected too -->
<!--- Complete *all* sections as described, this form is processed automatically -->

##### SUMMARY
When run make sdist, there will be error
mkdi",error-trace
227,question,bug,Switch to hashlib.sha256() for ansible-test,"When FIPs mode is enable on centos-8, we are not able to load md5
functions.

    Traceback (most recent call last):
      File ""/home/zuul/venv/bin/ansible-test"", line 28, in <module>
        main()
      File ""/home/zuul/venv/bin/ansible-test"", line 24, in main
        cli_main()
      File ""/home/zuul/venv/lib/python3.6/site-packages/ansible_test/_internal/cli.py"", line 173, in main
        args.func(config)
      File ""/home/zuul/venv/lib/python3.6/site-packages/ansible_test/_internal/executor.py"", line 570, in command_network_integration
        command_integration_filtered(args, internal_targets, all_targets, inventory_path)
      File ""/home/zuul/venv/lib/python3.6/site-packages/ansible_test/_internal/executor.py"", line 1105, in command_integration_filtered
        original_environment = current_environment if current_environment else EnvironmentDescription(args)
      File ""/home/zuul/venv/lib/python3.6/site-packages/ansible_test/_internal/executor.py"", line 1930, in __init__
        known_hosts_hash = self.get_hash(os.path.expanduser('~/.ssh/known_hosts'))
      File ""/home/zuul/venv/lib/python3.6/site-packages/ansible_test/_internal/executor.py"", line 2087, in get_hash
        file_hash = hashlib.md5()
    ValueError: [digital envelope routines: EVP_DigestInit_ex] disabled for FIPS

Signed-off-by: Paul Belanger <pabelanger@redhat.com>",bug,bug,bug,True,"When FIPs mode is enable on centos-8, we are not able to load md5
functions.

    Traceback (most recent call last):
      File ""/home/zuul/venv/bin/ansible-test"", line 28, in <module>
        main()
      File ""/home/zuul/venv/bin/ansible-test"", line 24, in main
        cli_main()
      File ""/home",error-trace
228,question,bug,ios_config diff_against not applying the difference in configuration to IOS devices,"Please raise issues via the [new interface](https://github.com/ansible/ansible/issues/new/choose)

**Hello Ansible Support,**

Please help me on this issue, I'm trying to remediate our IOS devices configuration against a set of standard configuration. The script was able to show the differences in the running config against the intended config (i.e ntp server) but it's not able to apply the configuration differences in the IOS devices, is this a bug?

**Ansible Version:**
ansible 2.9.6

**Sample Inventory (hosts.ini):**
[snmp_devices]
TestRouter1
TestSwitch1
TestSwitch2

**Sample Standard Config (sample_golden.txt):**
ntp server 1.1.1.1
ntp server 2.2.2.2

**Ansible Playbook:**
- name: run snmp validation playbook on IOS devices
  hosts: snmp_devices
  gather_facts: no

  tasks:

  - name: check and configure the difference between the running configuration and standard snmp configuration
    ios_config:
      diff_against: intended
      intended_config: ""{{ lookup('file', '/home/user/automation/snmp_remediation/golden/sample_golden.txt') }}""

**Playbook output (some of the output omitted for brevity):**
--- before
+++ after
@@ -1,111 +1,2 @@
-version 15.2
-service timestamps debug datetime msec
-service timestamps log datetime msec
+ntp server 8.8.8.8
+ntp server 9.9.9.9
\ No newline at end of file

changed: [TestSwitch2]

PLAY RECAP ************************************************************************************************************************************************************************************************
TestRouter1                : ok=1    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
TestSwitch1                : ok=1    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
TestSwitch2                : ok=1    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0

As you can see from the playbook output, I'm able to see the differences (+ntp server 8.8.8.8, +ntp server 9.9.9.9) but when I checked the running config of the Switch, the ntp server is not showing up, even though ansible recorded a change.

_TestSwitch2#show run | i ntp
TestSwitch2#_

**Hopefully, you can help me on this issue please. Thank you so much in advanced!**",bug,bug,bug,True,"Please raise issues via the [new interface](https://github.com/ansible/ansible/issues/new/choose)

**Hello Ansible Support,**

Please help me on this issue, I'm trying to remediate our IOS devices configuration against a set of standard configuration. The script was able to show the differences ",ambiguous
249,question,bug,K8s name is required to patch v1.Namespace,"SUMMARY
I am running the following playbook https://galaxy.ansible.com/geerlingguy/k8s

K8s module fails stating name is required to patch v1.Namespace

ANSIBLE VERSION
```
ansible 2.9.16
  config file = /home/jeremy/ansible/ansible.cfg
  configured module search path = ['/home/jeremy/.ansible/plugins/modules', '/usr/share/ansible/plugins/modules']
  ansible python module location = /usr/lib/python3.6/site-packages/ansible
  executable location = /usr/bin/ansible
  python version = 3.6.8 (default, Apr 16 2020, 01:36:27) [GCC 8.3.1 20191121 (Red Hat 8.3.1-5)]
```

OS / ENVIRONMENT
ansible control node
`CentOS Linux release 8.2.2004 (Core) `

target host being configured
`CentOS Linux release 8.3.2011
`

kubectl verison
```
Client Version: version.Info{Major:""1"", Minor:""17"", GitVersion:""v1.17.2"", GitCommit:""59603c6e503c87169aea6106f57b9f242f64df89"", GitTreeState:""clean"", BuildDate:""2020-01-18T23:30:10Z"", GoVersion:""go1.13.5"", Compiler:""gc"", Platform:""linux/amd64""}
Server Version: version.Info{Major:""1"", Minor:""17"", GitVersion:""v1.17.17"", GitCommit:""f3abc15296f3a3f54e4ee42e830c61047b13895f"", GitTreeState:""clean"", BuildDate:""2021-01-13T13:13:00Z"", GoVersion:""go1.13.15"", Compiler:""gc"", Platform:""linux/amd64""}
```

STEPS TO REPRODUCE
run playbook connecting to target 
(unsure what I can do further to debug/troubleshoot)

EXPECTED RESULTS
playbook should complete

ACTUAL RESULTS
```
The full traceback is:
Traceback (most recent call last):
  File ""/root/.ansible/tmp/ansible-tmp-1611681803.0410855-891977-31494928419364/AnsiballZ_k8s.py"", line 102, in <module>
    _ansiballz_main()
  File ""/root/.ansible/tmp/ansible-tmp-1611681803.0410855-891977-31494928419364/AnsiballZ_k8s.py"", line 94, in _ansiballz_main
    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)
  File ""/root/.ansible/tmp/ansible-tmp-1611681803.0410855-891977-31494928419364/AnsiballZ_k8s.py"", line 40, in invoke_module
    runpy.run_module(mod_name='ansible.modules.clustering.k8s.k8s', init_globals=None, run_name='__main__', alter_sys=True)
  File ""/usr/lib64/python3.6/runpy.py"", line 205, in run_module
    return _run_module_code(code, init_globals, run_name, mod_spec)
  File ""/usr/lib64/python3.6/runpy.py"", line 96, in _run_module_code
    mod_name, mod_spec, pkg_name, script_name)
  File ""/usr/lib64/python3.6/runpy.py"", line 85, in _run_code
    exec(code, run_globals)
  File ""/tmp/ansible_k8s_payload_glr6x29o/ansible_k8s_payload.zip/ansible/modules/clustering/k8s/k8s.py"", line 281, in <module>
  File ""/tmp/ansible_k8s_payload_glr6x29o/ansible_k8s_payload.zip/ansible/modules/clustering/k8s/k8s.py"", line 277, in main
  File ""/tmp/ansible_k8s_payload_glr6x29o/ansible_k8s_payload.zip/ansible/module_utils/k8s/raw.py"", line 191, in execute_module
  File ""/tmp/ansible_k8s_payload_glr6x29o/ansible_k8s_payload.zip/ansible/module_utils/k8s/raw.py"", line 386, in perform_action
  File ""/tmp/ansible_k8s_payload_glr6x29o/ansible_k8s_payload.zip/ansible/module_utils/k8s/raw.py"", line 410, in patch_resource
  File ""/usr/local/lib/python3.6/site-packages/openshift/dynamic/client.py"", line 125, in patch
    raise ValueError(""name is required to patch {}.{}"".format(resource.group_version, resource.kind))
ValueError: name is required to patch v1.Namespace
fatal: [kube1.idm.nac-issa.org]: FAILED! => {
    ""changed"": false,
    ""module_stderr"": ""Shared connection to kube1.idm.nac-issa.org closed.\r\n"",
    ""module_stdout"": ""Traceback (most recent call last):\r\n  File \""/root/.ansible/tmp/ansible-tmp-1611681803.0410855-891977-31494928419364/AnsiballZ_k8s.py\"", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \""/root/.ansible/tmp/ansible-tmp-1611681803.0410855-891977-31494928419364/AnsiballZ_k8s.py\"", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \""/root/.ansible/tmp/ansible-tmp-1611681803.0410855-891977-31494928419364/AnsiballZ_k8s.py\"", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.clustering.k8s.k8s', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \""/usr/lib64/python3.6/runpy.py\"", line 205, in run_module\r\n    return _run_module_code(code, init_globals, run_name, mod_spec)\r\n  File \""/usr/lib64/python3.6/runpy.py\"", line 96, in _run_module_code\r\n    mod_name, mod_spec, pkg_name, script_name)\r\n  File \""/usr/lib64/python3.6/runpy.py\"", line 85, in _run_code\r\n    exec(code, run_globals)\r\n  File \""/tmp/ansible_k8s_payload_glr6x29o/ansible_k8s_payload.zip/ansible/modules/clustering/k8s/k8s.py\"", line 281, in <module>\r\n  File \""/tmp/ansible_k8s_payload_glr6x29o/ansible_k8s_payload.zip/ansible/modules/clustering/k8s/k8s.py\"", line 277, in main\r\n  File \""/tmp/ansible_k8s_payload_glr6x29o/ansible_k8s_payload.zip/ansible/module_utils/k8s/raw.py\"", line 191, in execute_module\r\n  File \""/tmp/ansible_k8s_payload_glr6x29o/ansible_k8s_payload.zip/ansible/module_utils/k8s/raw.py\"", line 386, in perform_action\r\n  File \""/tmp/ansible_k8s_payload_glr6x29o/ansible_k8s_payload.zip/ansible/module_utils/k8s/raw.py\"", line 410, in patch_resource\r\n  File \""/usr/local/lib/python3.6/site-packages/openshift/dynamic/client.py\"", line 125, in patch\r\n    raise ValueError(\""name is required to patch {}.{}\"".format(resource.group_version, resource.kind))\r\nValueError: name is required to patch v1.Namespace\r\n"",
    ""msg"": ""MODULE FAILURE\nSee stdout/stderr for the exact error"",
    ""rc"": 1
}
```",bug,bug,bug,True,"SUMMARY
I am running the following playbook https://galaxy.ansible.com/geerlingguy/k8s

K8s module fails stating name is required to patch v1.Namespace

ANSIBLE VERSION
```
ansible 2.9.16
  config file = /home/jeremy/ansible/ansible.cfg
  configured module search path = ['/home/jeremy/.ansi",ambiguous
258,question,bug,failed_when with multiple conditions not working,"### Summary

i tested with "" with ' without "" without ' with ( ) without () and in any other combinations you can imagine

### Issue Type

Bug Report

### Component Name

general

### Ansible Version

```console
$ ansible --version
ansible 2.9.6
```


### Configuration

```console
$ ansible-config dump --only-changed
nothing
```


### OS / Environment

ubuntu 20.04

### Steps to Reproduce

<!--- Paste example playbooks or commands between quotes below -->
```yaml (paste below)
- name: ""Stop vm if absent""
  proxmox_kvm:
    api_host: ""{{ api_host }}""
    api_password: ""{{ api_password }}""
    api_user: ""{{ api_user }}""
    vmid: ""{{ item.value.vmid }}""
    node: ""{{ node }}""
    state: ""{% if item.value.state == 'absent' %}stopped{% endif %}""
    force: True
    timeout: 600
  loop: ""{{ q('dict', vms) }}""
  when: item.value.state == 'absent'
  register: results

  failed_when:
    - (""VM {{ item.value.vmid }} is already stopped"" not in results.msg) or
      (""VM with vmid = {{ item.value.vmid }} does not exist in cluster"" not in results.msg)


```


### Expected Results

no changes

### Actual Results

```console
error exit on play
```


### Code of Conduct

I agree to follow the Ansible Code of Conduct

",bug,bug,bug,True,"### Summary

i tested with "" with ' without "" without ' with ( ) without () and in any other combinations you can imagine

### Issue Type

Bug Report

### Component Name

general

### Ansible Version

```console
$ ansible --version
ansible 2.9.6
```


### Configuration

```console
$ ansible-config ",ambiguous
277,question,bug,[stable-2.12] Attempt 2: Catch errors getting filters and tests (#76806).,"(cherry picked from commit 9f46f6eb30e7fa2b88f0038c8f7e37c0db6ba6c5)

Co-authored-by: Matt Martz <matt@sivel.net>",bug,bug,bug,True,"(cherry picked from commit 9f46f6eb30e7fa2b88f0038c8f7e37c0db6ba6c5)

Co-authored-by: Matt Martz <matt@sivel.net>",ambiguous
