system,setting,model,k_label,delta_f1_macro,delta_precision_bug,delta_recall_bug,delta_f1_bug,delta_precision_feature,delta_recall_feature,delta_f1_feature,delta_precision_question,delta_recall_question,delta_f1_question
VTAG,agnostic,(no LLM),k1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTAG,agnostic,(no LLM),k3,-0.0131,0.17779999999999996,-0.30269999999999997,-0.10939999999999994,-0.06989999999999996,0.12449999999999994,0.0262,-0.05390000000000006,0.1573,0.04379999999999995
VTAG,agnostic,(no LLM),k6,0.000200000000000089,0.15739999999999998,-0.2619,-0.07250000000000001,-0.05500000000000005,0.10450000000000004,0.027800000000000047,-0.059900000000000064,0.16360000000000008,0.045499999999999985
VTAG,agnostic,(no LLM),k9,0.006399999999999961,0.09750000000000003,-0.19190000000000007,-0.042400000000000104,-0.02960000000000007,0.04819999999999991,0.01319999999999999,-0.05379999999999996,0.15539999999999998,0.04849999999999999
VTAG,project_specific,(no LLM),k1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTAG,project_specific,(no LLM),k3,-0.010936363636363744,0.14949999999999974,-0.30090909090909107,-0.12360909090909089,-0.06289999999999996,0.12363636363636354,0.03258181818181827,-0.047699999999999965,0.1654545454545454,0.05816363636363642
VTAG,project_specific,(no LLM),k6,-0.00014545454545455971,0.1292181818181818,-0.2645454545454546,-0.0902090909090909,-0.06268181818181817,0.09272727272727266,0.02462727272727283,-0.05940000000000012,0.1736363636363637,0.0651090909090909
VTAG,project_specific,(no LLM),k9,0.006872727272727142,0.08824545454545463,-0.18272727272727263,-0.049181818181818215,-0.03940909090909095,0.047272727272727244,0.010672727272727278,-0.06101818181818186,0.14727272727272733,0.05911818181818185
RAGTAG-Qwen-3B,project_specific,Qwen-3B,k1,-0.008754545454545348,-0.009718181818181848,0.010909090909090868,-0.0028272727272727893,0.0374000000000001,-0.07272727272727275,-0.01932727272727275,-0.054581818181818065,0.020909090909090877,-0.004136363636363827
RAGTAG-Qwen-3B,project_specific,Qwen-3B,k3,-0.000818181818181829,0.04109090909090907,-0.10818181818181827,-0.03089090909090897,0.0001818181818181719,-0.020909090909090766,-0.010681818181818126,-0.06349090909090904,0.10909090909090907,0.03911818181818172
RAGTAG-Qwen-3B,project_specific,Qwen-3B,k6,0.03089090909090897,0.10240000000000005,-0.11636363636363634,-0.00956363636363644,-0.0072545454545455135,0.0,-0.0037454545454546073,-0.04126363636363661,0.2054545454545454,0.10595454545454541
RAGTAG-Qwen-3B,project_specific,Qwen-3B,k9,0.031490909090909014,0.10329999999999995,-0.1245454545454544,-0.015363636363636246,-0.006400000000000294,0.005454545454545379,-0.0006818181818183389,-0.050999999999999934,0.20181818181818195,0.11050000000000004
RAGTAG-Qwen-7B,project_specific,Qwen-7B,k1,-0.009672727272727166,-0.009954545454545438,-0.0027272727272726893,-0.008690909090908971,0.00396363636363628,-0.019999999999999907,-0.012218181818181684,-0.0056363636363635505,-0.0036363636363635488,-0.008090909090909149
RAGTAG-Qwen-7B,project_specific,Qwen-7B,k3,-0.001836363636363636,-0.001836363636363747,-0.011818181818181728,-0.006436363636363462,-0.007545454545454522,-0.009090909090909038,-0.009736363636363543,0.00035454545454549624,0.012727272727272698,0.010763636363636198
RAGTAG-Qwen-7B,project_specific,Qwen-7B,k6,0.015699999999999936,0.012936363636363635,0.01727272727272744,0.016027272727272668,5.454545454552928e-05,-0.005454545454545379,-0.0028090909090910943,-0.008863636363636518,0.045454545454545414,0.03389090909090897
RAGTAG-Qwen-7B,project_specific,Qwen-7B,k9,0.02017272727272723,0.037236363636363734,-0.019999999999999907,0.012118181818181806,-0.006509090909090909,0.0009090909090908594,-0.0037818181818181085,-0.028472727272727094,0.07636363636363624,0.05220909090909087
RAGTAG-Qwen-14B,project_specific,Qwen-14B,k1,-0.00607272727272723,-0.010290909090909128,-0.013636363636363669,-0.01214545454545457,-0.004927272727272891,-0.0018181818181816078,-0.0035181818181818647,-1.8181818181695064e-05,-0.0018181818181818299,-0.002545454545454462
RAGTAG-Qwen-14B,project_specific,Qwen-14B,k3,-0.00875454545454546,-0.007872727272727253,-0.027272727272727337,-0.016363636363636247,-0.022054545454545438,-0.004545454545454297,-0.015127272727272989,0.009718181818181626,0.0018181818181818854,0.005227272727272636
RAGTAG-Qwen-14B,project_specific,Qwen-14B,k6,0.01936363636363625,0.02036363636363636,0.013636363636363336,0.01912727272727266,-0.007400000000000184,0.0,-0.00401818181818181,-0.006009090909090853,0.05181818181818182,0.043018181818181844
RAGTAG-Qwen-14B,project_specific,Qwen-14B,k9,0.025318181818181795,0.036754545454545484,-0.008181818181818068,0.019418181818181668,-0.006927272727272671,0.009090909090909038,0.0006999999999998119,-0.006763636363636638,0.07272727272727275,0.05579999999999985
RAGTAG-Qwen-32B,project_specific,Qwen-32B,k1,-0.009009090909091078,-0.006809090909090876,-0.024545454545454537,-0.014172727272727226,-0.019281818181818178,0.004545454545454408,-0.008336363636363697,-0.00018181818181806086,-0.0072727272727272085,-0.004536363636363561
RAGTAG-Qwen-32B,project_specific,Qwen-32B,k3,-0.010272727272727211,-0.000818181818181829,-0.028181818181818086,-0.012890909090909064,-0.02270909090909079,0.006363636363636349,-0.010518181818181871,-0.006372727272727308,-0.0072727272727273196,-0.007363636363636239
RAGTAG-Qwen-32B,project_specific,Qwen-32B,k6,0.012181818181818405,0.014645454545454628,0.016363636363636358,0.016036363636363737,-0.0037818181818182195,0.008181818181818179,0.002236363636363925,-0.007945454545454478,0.029999999999999916,0.0183545454545454
RAGTAG-Qwen-32B,project_specific,Qwen-32B,k9,0.01660000000000006,0.035227272727272774,0.001818181818181941,0.020936363636363642,-0.0030636363636364905,0.0027272727272728003,-0.0005090909090910145,-0.021445454545454656,0.05181818181818176,0.029436363636363705
